Level,Dropper,Fall Speed,Fall Frequency,Container Capacity,Catcher Speed
1,COW,60,1250,25,60
2,COW,80,1170,30,60
3,COW,100,1090,35,60
4,COW,120,1010,40,60
5,COW,140,930,45,60
6,COW,160,850,50,65
7,COW,180,770,55,65
8,COW,200,690,60,65
9,COW,220,610,65,65
10,COW,240,530,70,65
11,COW,260,450,75,70
12,COW,280,370,80,70
13,COW,300,290,85,70
14,COW,320,210,90,70
15,COW,340,130,95,70
16,COW,360,50,100,70
17,COW,380,0,105,75
18,COW,400,0,110,75
19,COW,420,0,115,75
20,COW,440,0,120,75
21,COW,460,0,125,75
22,COW,480,0,130,75
23,COW,500,0,135,75
24,COW,520,0,140,75
25,COW,540,0,145,75
26,COW,560,0,150,75
27,COW,580,0,155,75
28,COW,600,0,160,75
29,COW,620,0,165,75
30,COW,640,0,170,75
31,COW,660,0,175,75
32,COW,680,0,55,75
33,COW,700,0,55,75
34,COW,720,0,55,75
35,COW,740,0,55,75
36,COW,760,0,60,75
37,COW,780,0,60,75
38,COW,800,0,60,75
39,COW,820,0,60,75
40,COW,840,0,60,75
41,COW,860,0,65,75
42,COW,880,0,65,75
43,COW,900,0,65,75
44,COW,920,0,65,75
45,COW,940,0,65,75
46,COW,960,0,70,75
47,COW,980,0,70,75
48,COW,1000,0,70,75
49,COW,1020,0,70,75
50,COW,1040,0,70,75
51,COW,1060,0,75,75
52,COW,1080,0,75,75
53,COW,1100,0,75,75
54,COW,1120,0,75,75
55,COW,1140,0,75,75
56,COW,1160,0,80,75
57,COW,1180,0,80,75
58,COW,1200,0,80,75
59,COW,1220,0,80,75
60,COW,1240,0,80,75
61,COW,1260,0,85,75
62,COW,1280,0,85,75
63,COW,1300,0,85,75
64,COW,1320,0,85,75
65,COW,1340,0,85,75
66,COW,1360,0,90,75
67,COW,1380,0,90,75
68,COW,1400,0,90,75
69,COW,1420,0,90,75
70,COW,1440,0,90,75
71,COW,1460,0,95,75
72,COW,1480,0,95,75
73,COW,1500,0,95,75
74,COW,1520,0,95,75
75,COW,1540,0,95,75
76,COW,1560,0,100,75
77,COW,1580,0,100,75
78,COW,1600,0,100,75
79,COW,1620,0,100,75
80,COW,1640,0,100,75
81,COW,1660,0,105,75
82,COW,1680,0,105,75
83,COW,1700,0,105,75
84,COW,1720,0,105,75
85,COW,1740,0,105,75
86,COW,1760,0,110,75
87,COW,1780,0,110,75
88,COW,1800,0,110,75
89,COW,1820,0,110,75
90,COW,1840,0,110,75
91,COW,1860,0,115,75
92,COW,1880,0,115,75
93,COW,1900,0,115,75
94,COW,1920,0,115,75
95,COW,1940,0,115,75
96,COW,1960,0,120,75
97,COW,1980,0,120,75
98,COW,2000,0,120,75
99,COW,2020,0,120,75
100,COW,2040,0,120,75
101,COW,2060,0,125,75
102,COW,2080,0,125,75
103,COW,2100,0,125,75
104,COW,2120,0,125,75
105,COW,2140,0,125,75
106,COW,2160,0,130,75
107,COW,2180,0,130,75
108,COW,2200,0,130,75
109,COW,2220,0,130,75
110,COW,2240,0,130,75
111,COW,2260,0,135,75
112,COW,2280,0,135,75
113,COW,2300,0,135,75
114,COW,2320,0,135,75
115,COW,2340,0,135,75
116,COW,2360,0,140,75
117,COW,2380,0,140,75
118,COW,2400,0,140,75
119,COW,2420,0,140,75
120,COW,2440,0,140,75
121,COW,2460,0,145,75
122,COW,2480,0,145,75
123,COW,2500,0,145,75
124,COW,2520,0,145,75
125,COW,2540,0,145,75
126,COW,2560,0,150,75
127,COW,2580,0,150,75
128,COW,2600,0,150,75
129,COW,2620,0,150,75
130,COW,2640,0,150,75
131,COW,2660,0,155,75
132,COW,2680,0,155,75
133,COW,2700,0,155,75
134,COW,2720,0,155,75
135,COW,2740,0,155,75
136,COW,2760,0,160,75
137,COW,2780,0,160,75
138,COW,2800,0,160,75
139,COW,2820,0,160,75
140,COW,2840,0,160,75
141,COW,2860,0,165,75
142,COW,2880,0,165,75
143,COW,2900,0,165,75
144,COW,2920,0,165,75
145,COW,2940,0,165,75
146,COW,2960,0,170,75
147,COW,2980,0,170,75
148,COW,3000,0,170,75
149,COW,3020,0,170,75
150,COW,3040,0,170,75
